split,growth_run_id,sq_nm,sa_nm,analysis_scale_nm,height_increment_rms_31nm,scale_dependent_rms_slope_31nm,curvature_relief_31nm,scale_dependent_rms_curvature_31nm_inv,sdq_31nm,sdr_31nm_percent,bearing_core_span_p90_p10_nm,bearing_peak_span_p99_p90_nm,bearing_valley_span_p10_p01_nm,bearing_core_equivalent_nm,island_prominence_nm,island_median_area_nm2,island_count_per_um2,island_boundary_contrast,functional_surface_morphology_index_nm
retrospective_full23_loo,6070,3.0472295308216166,2.4046194242550643,31.372549019607842,3.2625991805532384,0.10399534888013448,2.5853685240370052,0.005253549633609571,0.09010188110384774,0.40382788367656325,7.720174633998413,3.076023893463198,4.03931059045005,1.9300436584996032,1.7698250909111066,1268.7427912341407,32.0,1.2736557909655688,2.619825980056949
retrospective_full23_loo,6072,1.4701149256907267,1.1373414037682692,31.372549019607842,1.9123143759383243,0.06095502073303409,1.5500630333594785,0.003149776523256253,0.051177944834788984,0.13076621290289697,3.6381862923018864,1.3016390921961496,2.552253696656893,0.9095465730754716,1.0512677240102615,2475.97078046905,54.0,1.2491070368685042,1.4268805447108657
retrospective_full23_loo,6078,2.114030502852253,1.6159594501657284,31.372549019607842,1.982851280679176,0.06326209252636905,1.5157787928637052,0.0030855494036869466,0.05674292919142203,0.16065701050911463,5.071274442715193,2.6082828308700856,2.406827628950264,1.2678186106787983,1.4293618566594195,1601.8822027355714,39.0,1.3127109108142467,1.7124178830987482
retrospective_full23_loo,6080,4.401600455119694,3.44067376793142,31.372549019607842,4.73987700081584,0.1510835794010049,3.5118455414994543,0.007136179885500064,0.14215686165363395,1.0113523549278487,11.237192820639374,3.315244643641701,6.223556628332844,2.8092982051598434,3.259652785570759,4928.8735101883885,25.5,1.156072284076024,3.8146875917994403
retrospective_full23_loo,6081,3.1814768073596182,2.546902163637628,31.372549019607842,1.3146849915451624,0.041905584105502054,0.9046894549386509,0.0018383572439808057,0.042279031744988434,0.08928026170860785,7.609383713994,5.35618036865773,1.3396885303404877,1.9023459284985,2.2399796120628173,3006.535947712418,9.0,1.2506813877277947,2.064223001846959
retrospective_full23_loo,6082,1.8636132814417,1.4616825025813796,31.372549019607842,1.9160042584021646,0.061072635736569,1.3978541088417216,0.0028404832321072796,0.058549801074721526,0.17104718930316448,4.7818961608114945,2.2799777284897838,1.9047548843088569,1.1954740402028736,1.4750240941498745,3737.024221453287,37.0,1.2107066100169652,1.569797187543049
retrospective_full23_loo,6084,2.0129025114755525,1.5835181683198973,31.372549019607842,1.8180060005623928,0.05794894126792628,1.4320219042533893,0.0029099132601273945,0.04967486449909902,0.12355338260180158,5.088994969663569,2.6141713986087383,2.0354403935688143,1.2722487424158921,1.4243511149512196,1887.735486351403,38.0,1.3005067145291531,1.6004098868850862
retrospective_full23_loo,6085,3.1256623124855496,2.466912168742493,31.372549019607842,2.4940968938233157,0.07949933849061819,1.7357011690527955,0.0035269990161768136,0.08047443810989645,0.32267811925933754,7.934188350483092,3.8963240725726385,2.555816240139921,1.983547087620773,2.4931643429733317,4352.172241445597,24.0,1.19358876695579,2.455030747789686
retrospective_full23_loo,6090,4.685108054915396,3.7695240355498867,31.372549019607842,2.651315406952085,0.08451067859659771,1.8013056119161754,0.003660309294214041,0.08654275211161598,0.3728742673429546,12.14266239889617,5.052563867032227,2.8955676498718503,3.0356655997240427,2.9936476655328144,3783.16032295271,14.0,1.1370952541442116,3.1749521180513365
retrospective_full23_loo,6094,4.09236633739849,3.117426859673131,31.372549019607842,4.6185903852961925,0.14721756853131612,3.3763497515337733,0.006860848206046363,0.13963051099311713,0.9636957248028504,10.083081184429592,3.4826064418150717,5.875302878178513,2.520770296107398,2.706203836433776,2755.7864660477167,40.0,1.03758211129623,3.616631849567126
retrospective_full23_loo,6095,9.867135055037577,8.314344050544628,31.372549019607842,10.434021546603695,0.3325844367979928,7.252341197648163,0.014736983949283494,0.33008470503446297,5.203083371566586,27.052941136678477,7.033445642734918,5.464117821799396,6.763235284169619,6.049661719533434,5628.604382929642,23.0,1.0077239642724234,8.567125493610353
retrospective_full23_loo,6099,10.321437288163786,9.136377372512875,31.372549019607842,11.037478975768495,0.35250948478860633,8.036285949307373,0.0163299841829285,0.34750507230193234,5.764692140293683,26.740619698121478,8.19262905758106,1.2967280203622575,6.685154924530369,9.687053453890138,4828.911956939638,41.0,1.152830479213378,9.324230493376987
retrospective_full23_loo,6101,1.4174391720857313,1.076621671318771,31.372549019607842,0.473362581198935,0.015088432275716053,0.24261013854626481,0.0004929913830928397,0.017376134420015073,0.016480512804879208,3.378844733408587,2.6614836930776957,1.1951673713877793,0.8447111833521468,0.6918328331774355,522.875816993464,5.0,1.459264026292805,0.8380821497217993
