review_id,sample_id,frame_idx,morphology_index,raw_spottiness,raw_streakiness,afm_Rq_median_nm,source_raw_frame_path
HR0093,6055,401,0.3632753876,50.4,88.33772273,,reports/rheed_roughness/assets/rheed_frames/6055/frame_000401_raw.png
HR0094,6088,302,0.4262167384,25,33.65560346,1.83231963,reports/rheed_roughness/assets/rheed_frames/6088/frame_000302_raw.png
HR0095,6022,770,0.4254578349,31.8,42.94301184,1.649340225,reports/rheed_roughness/assets/rheed_frames/6022/frame_000770_raw.png
HR0096,6082,356,0.366494096,25.4,43.90534563,1.863613281,reports/rheed_roughness/assets/rheed_frames/6082/frame_000356_raw.png
HR0097,6063,731,0.380642528,44,71.59402002,5.867181941,reports/rheed_roughness/assets/rheed_frames/6063/frame_000731_raw.png
HR0098,6067,767,0.3767360131,23.2,38.38158282,1.277916396,reports/rheed_roughness/assets/rheed_frames/6067/frame_000767_raw.png
HR0099,6033,647,0.377197938,13.6,22.45534025,2.539230308,reports/rheed_roughness/assets/rheed_frames/6033/frame_000647_raw.png
HR0100,6048,352,0.3710060129,29.4,49.84399868,2.547742861,reports/rheed_roughness/assets/rheed_frames/6048/frame_000352_raw.png
HR0101,6041,497,0.3986742162,29.8,44.94774837,2.019250344,reports/rheed_roughness/assets/rheed_frames/6041/frame_000497_raw.png
HR0102,6023,970,0.3827158234,23.8,38.38713349,10.28980427,reports/rheed_roughness/assets/rheed_frames/6023/frame_000970_raw.png
HR0103,6084,393,0.3820125444,27.2,44.0018503,2.012902511,reports/rheed_roughness/assets/rheed_frames/6084/frame_000393_raw.png
HR0104,6062,450,0.3822733792,38.2,61.72848592,3.092365542,reports/rheed_roughness/assets/rheed_frames/6062/frame_000450_raw.png
HR0105,6058,329,0.2894407028,28.6,70.21125813,5.800950394,reports/rheed_roughness/assets/rheed_frames/6058/frame_000329_raw.png
HR0106,6023,918,0.3437901669,21.8,41.61077231,10.28980427,reports/rheed_roughness/assets/rheed_frames/6023/frame_000918_raw.png
HR0107,6087,329,0.3775327622,19.4,31.9862688,7.358170846,reports/rheed_roughness/assets/rheed_frames/6087/frame_000329_raw.png
HR0108,6062,426,0.3389467574,22.4,43.68707565,3.092365542,reports/rheed_roughness/assets/rheed_frames/6062/frame_000426_raw.png
HR0109,6093,342,0.3708514359,17,28.84045888,7.062594145,reports/rheed_roughness/assets/rheed_frames/6093/frame_000342_raw.png
HR0110,6041,448,0.3462965171,17,32.09087778,2.019250344,reports/rheed_roughness/assets/rheed_frames/6041/frame_000448_raw.png
HR0111,6057,391,0,0,0,5.337333425,reports/rheed_roughness/assets/rheed_frames/6057/frame_000391_raw.png
HR0112,6102,464,0.3438477633,25.2,48.08824754,,reports/rheed_roughness/assets/rheed_frames/6102/frame_000464_raw.png
HR0113,6043,248,0.4513609112,18.4,22.36560362,7.371982719,reports/rheed_roughness/assets/rheed_frames/6043/frame_000248_raw.png
HR0114,6058,365,0,0,0,5.800950394,reports/rheed_roughness/assets/rheed_frames/6058/frame_000365_raw.png
HR0115,6066,704,0,0,0,4.99332107,reports/rheed_roughness/assets/rheed_frames/6066/frame_000704_raw.png
HR0116,6056,464,0,0,0,3.225375938,reports/rheed_roughness/assets/rheed_frames/6056/frame_000464_raw.png
HR0117,6082,337,0.4189734968,25.4,35.22435976,1.863613281,reports/rheed_roughness/assets/rheed_frames/6082/frame_000337_raw.png
HR0118,6065,416,0.3408347949,21.8,42.1606059,5.606737369,reports/rheed_roughness/assets/rheed_frames/6065/frame_000416_raw.png
HR0119,6054,551,0,0,0,,reports/rheed_roughness/assets/rheed_frames/6054/frame_000551_raw.png
HR0120,6078,356,0.4130086482,27.6,39.22668781,2.114030503,reports/rheed_roughness/assets/rheed_frames/6078/frame_000356_raw.png
