growth_run_id,source,true_sq_nm,predicted_sq_nm,dark_fraction,largest_dark_component_fraction,display_median,display_mean,height_skewness
6048,m23,1.8154829144477844,3.33386441363801,0.041259765625,0.00482177734375,0.5291615752341409,0.5245836590381916,-0.14078079634566165
6056,real,2.529426336288452,1.5342407298012777,0.0361785888671875,0.004150390625,0.546497739688558,0.5369298437229133,-0.29905832849766917
6056,m22_frozen,2.529426336288452,1.5342407298012777,0.060546875,0.02508544921875,0.471923591199635,0.48727407001799555,0.19785055842993665
6056,m23,2.529426336288452,1.5342407298012777,0.0413818359375,0.00408935546875,0.5287622404420161,0.5243312666437366,-0.13680489136442597
6057,real,3.9545385837554927,3.1000038636978706,0.0316009521484375,0.0022735595703125,0.5295015922254871,0.5177499632904354,-0.2238144220678054
6057,m22_frozen,3.9545385837554927,3.1000038636978706,0.038818359375,0.00384521484375,0.532116230978094,0.530343777552168,-0.15697722501007194
6057,m23,3.9545385837554927,3.1000038636978706,0.0413818359375,0.00579833984375,0.5287622400821772,0.5243312665735654,-0.13680489028114962
6062,real,3.0923656225204468,3.8106222846849063,0.019542694091796875,0.000881195068359375,0.6660747233191093,0.6435496879677278,-0.920670397553257
6062,m22_frozen,3.0923656225204468,3.8106222846849063,0.02984619140625,0.00274658203125,0.6086699254498111,0.5969776668862277,-0.41800987188244154
6062,m23,3.0923656225204468,3.8106222846849063,0.02984619140625,0.00274658203125,0.6086699254498111,0.5969776668862277,-0.41800987188244154
6063,real,5.24570107460022,4.649623227301118,0.044097900390625,0.003482818603515625,0.6406443278233538,0.612018206851757,-0.8369628588670527
6063,m22_frozen,5.24570107460022,4.649623227301118,0.03155517578125,0.001953125,0.5926636153864024,0.5814858008988704,-0.3646173036584312
6063,m23,5.24570107460022,4.649623227301118,0.03155517578125,0.001953125,0.5926636153864024,0.5814858008988704,-0.3646173036584312
6070,real,2.544952154159546,1.759026091081472,0.02215576171875,0.0018463134765625,0.6069051978286676,0.5894546782776268,-0.6245644663844699
6070,m22_frozen,2.544952154159546,1.759026091081472,0.08294677734375,0.02191162109375,0.4700641948597984,0.48453998484880284,0.17985340671271183
6070,m23,2.544952154159546,1.759026091081472,0.0413818359375,0.0042724609375,0.5287622404420161,0.5243312666437367,-0.13680489136442595
6072,real,1.470114827156067,0.7422541545602325,0.0238800048828125,0.0016632080078125,0.5972924030196841,0.5825685559836845,-0.5931927295536754
