target,method,coverage,retained_growth_group_count,mae,median_absolute_error,pearson_r,retained_growth_run_ids
FSMI_nm,M14f_multiview_curated40_r3d60,0.8260869565217391,19,1.6692381684393849,1.3082670066618194,0.35840988389631606,6099;6090;6022;6063;6095;6080;6085;6078;6081;6048;6084;6028;6057;6029;6082;6062;6072;6070;6033
FSMI_nm,M14f_multiview_curated40_r3d60,0.7391304347826086,17,1.7950581923802635,1.3139489374721025,0.34918521257576196,6099;6090;6022;6063;6095;6080;6085;6078;6081;6048;6084;6028;6057;6029;6082;6062;6072
FSMI_nm,M14f_multiview_curated40_r3d60,0.6086956521739131,14,1.9788038128171581,1.5242298233370988,0.2974668745290822,6099;6090;6022;6063;6095;6080;6085;6078;6081;6048;6084;6028;6057;6029
FSMI_nm,M14f_multiview_curated40_r3d60,0.5217391304347826,12,2.1587782328843805,1.5242298233370988,0.28040088345729286,6099;6090;6022;6063;6095;6080;6085;6078;6081;6048;6084;6028
FSMI_nm,M14g_multiview_curated60_r3d40,1.0,23,1.42235568062552,1.0781581882494402,0.36956761156116047,6090;6099;6022;6095;6063;6080;6085;6078;6048;6084;6081;6028;6029;6082;6057;6072;6033;6094;6062;6047;6070;6056;6101
FSMI_nm,M14g_multiview_curated60_r3d40,0.9130434782608695,21,1.5262513433647282,1.113702414149305,0.2947814807269632,6090;6099;6022;6095;6063;6080;6085;6078;6048;6084;6081;6028;6029;6082;6057;6072;6033;6094;6062;6047;6070
FSMI_nm,M14g_multiview_curated60_r3d40,0.8260869565217391,19,1.6643624289406107,1.1228544201181418,0.28626136549945475,6090;6099;6022;6095;6063;6080;6085;6078;6048;6084;6081;6028;6029;6082;6057;6072;6033;6094;6062
FSMI_nm,M14g_multiview_curated60_r3d40,0.7391304347826086,17,1.8007245975679476,1.3201006109396767,0.28205430781961527,6090;6099;6022;6095;6063;6080;6085;6078;6048;6084;6081;6028;6029;6082;6057;6072;6033
FSMI_nm,M14g_multiview_curated60_r3d40,0.6086956521739131,14,1.9557999656351102,1.4112422109610732,0.26045418860203506,6090;6099;6022;6095;6063;6080;6085;6078;6048;6084;6081;6028;6029;6082
FSMI_nm,M14g_multiview_curated60_r3d40,0.5217391304347826,12,2.1754358377255785,1.568001899996332,0.20077430618036646,6090;6099;6022;6095;6063;6080;6085;6078;6048;6084;6081;6028
