video_path,sample_id,sample_dir,matched_video_glob,selected_for_processing,discovery_reason
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6102/videos/N6102_raw_crop_256x256.mp4,N6102,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6102,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6104/videos/N6104_raw_crop_256x256.mp4,N6104,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6104,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6105/videos/N6105_raw_crop_256x256.mp4,N6105,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6105,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6110/videos/N6110_raw_crop_256x256.mp4,N6110,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6110,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6112/videos/N6112_raw_crop_256x256.mp4,N6112,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6112,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6113/videos/N6113_raw_crop_256x256.mp4,N6113,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6113,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6117/videos/N6117_raw_crop_256x256.mp4,N6117,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6117,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6194/videos/N6194_raw_crop_256x256.mp4,N6194,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6194,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6196/videos/N6196_raw_crop_256x256.mp4,N6196,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6196,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6203/videos/N6203_raw_crop_256x256.mp4,N6203,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6203,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6204/videos/N6204_raw_crop_256x256.mp4,N6204,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6204,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6207/videos/N6207_raw_crop_256x256.mp4,N6207,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6207,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6208/videos/N6208_raw_crop_256x256.mp4,N6208,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6208,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6209/videos/N6209_raw_crop_256x256.mp4,N6209,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6209,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6210/videos/N6210_raw_crop_256x256.mp4,N6210,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6210,1,1,matched_video_glob
