sweep_descriptor,base_row_id,sample_id,guidance_scale,requested_raw,requested_cond,sample_index,generated_std,generated_min,generated_max,generated_height_mean,generated_height_std,generated_rq,generated_ra,generated_peak_to_valley,generated_p01,generated_p05,generated_p50,generated_p95,generated_p99,generated_robust_range,generated_skewness,generated_kurtosis,generated_mean_abs_gradient,generated_gradient_std,generated_gradient_orientation_entropy,generated_gradient_anisotropy,generated_psd_low_power,generated_psd_mid_power,generated_psd_high_power,generated_psd_slope,generated_autocorrelation_length_px,generated_island_coverage,generated_island_count,generated_island_mean_area_px,generated_height_min,generated_height_max,generated_slope_p50,generated_slope_p95,generated_slope_p99,generated_psd_peak_frequency,generated_island_mean_height
gradient_anisotropy,afmv2_06e9a8457ab9,6058,0.0,-0.03772445023,-2,1,0.6298910379,-0.9995898604,0.9982852936,-0.01493866168,0.6298910216,0.6298910216,0.5515856924,1.997875154,-0.9900916851,-0.9458974838,-0.02425095905,0.9357333988,0.9892490882,1.979340773,0.02912251352,1.673486986,0.1643303928,0.1260566746,0.9988845144,0.1136728621,9.110650056,3.931949334,1.30087681,-4.018257475,7,0.25,32,128,-0.9995898604,0.9982852936,0.1384746066,0.4061007432,0.5487736912,0.01746928107,0.8085949506
gradient_anisotropy,afmv2_06e9a8457ab9,6058,0.0,0.07084967196,-1,0,0.6239305139,-0.9996474981,0.9995926023,0.07225450954,0.623930536,0.623930536,0.5464417599,1.9992401,-0.9856952137,-0.9201850355,0.1062623113,0.9615182161,0.9939955562,1.97969077,-0.1301322696,1.704103576,0.1686994825,0.1275247467,0.9977782942,0.09544480004,9.189261353,4.169145167,1.405520832,-3.930619381,6,0.25,32,128,-0.9996474981,0.9995926023,0.1453386254,0.4094902346,0.556091388,0.01746928107,0.8517826645
gradient_anisotropy,afmv2_06e9a8457ab9,6058,0.0,0.07084967196,-1,1,0.6249663234,-0.9977594614,0.9998125434,0.07641615338,0.6249662925,0.6249662925,0.5458537559,1.997572005,-0.9890296686,-0.9323088795,0.1157962568,0.9545584053,0.9942950451,1.983324714,-0.1528515428,1.724293577,0.1743084731,0.1340713739,0.9988609996,0.0550407179,9.158337608,3.978831874,1.277579321,-4.022003841,6,0.25,34,120.4705882,-0.9977594614,0.9998125434,0.1473403614,0.4314045845,0.5790431228,0.02816836934,0.854697797
gradient_anisotropy,afmv2_06e9a8457ab9,6058,0.0,0.1794237942,0,0,0.6241340637,-0.9924163818,0.9997045994,0.1606659568,0.6241340482,0.6241340482,0.5507516834,1.992120981,-0.9637571859,-0.8805269539,0.2461486757,0.9746273488,0.9950551516,1.958812338,-0.2620105507,1.715192794,0.161948256,0.1266790334,0.9992257423,0.04191573303,9.08010187,3.889896722,1.247817388,-4.034033225,6,0.25,30,136.5333333,-0.9924163818,0.9997045994,0.1356739143,0.41028076,0.5465966926,0.0078125,0.9039615169
gradient_anisotropy,afmv2_06e9a8457ab9,6058,0.0,0.1794237942,0,1,0.6325070262,-0.9973115325,0.9974956512,-0.01337681504,0.632507025,0.632507025,0.5579024285,1.994807184,-0.9796782386,-0.934556517,-0.03932981752,0.9384885043,0.9832408279,1.962919067,0.048903784,1.63841073,0.177802854,0.1355142785,0.9990518062,0.08920911717,9.157199373,4.036317699,1.333744509,-3.937252757,6,0.25,41,99.90243902,-0.9973115325,0.9974956512,0.1479106878,0.4459310925,0.5861564984,0.02816836934,0.8147147618
gradient_anisotropy,afmv2_06e9a8457ab9,6058,0.0,0.2879979163,1,0,0.6435427666,-0.9963359833,0.9993215203,0.008188590865,0.6435427876,0.6435427876,0.5710107618,1.995657504,-0.985957129,-0.9460828871,0.009892818052,0.9506673604,0.9900383621,1.975995491,-0.00890934734,1.612401913,0.1672107586,0.1303910907,0.9979654773,0.07995182862,9.142245958,3.889641155,1.157570834,-4.099715549,6,0.25,33,124.1212121,-0.9963359833,0.9993215203,0.1388578339,0.4244686009,0.5621608649,0.02209708691,0.8337631113
gradient_anisotropy,afmv2_06e9a8457ab9,6058,0.0,0.2879979163,1,1,0.6319451928,-0.9985356331,0.9993889332,0.03685063315,0.6319452083,0.6319452083,0.5565703763,1.997924566,-0.9855988729,-0.9296628654,0.03059219196,0.9571326256,0.9927994555,1.978398328,-0.028871843,1.654952498,0.174200563,0.1341354324,0.9985643155,0.05343735575,9.179927082,3.968417525,1.271901458,-4.034291698,6,0.25,30,136.5333333,-0.9985356331,0.9993889332,0.1469986304,0.4364067904,0.5809145398,0.015625,0.8485665833
gradient_anisotropy,afmv2_06e9a8457ab9,6058,0.0,0.3965720385,2,0,0.6236460209,-0.9962115884,0.9994786382,0.07796026467,0.6236460067,0.6236460067,0.5477729042,1.995690227,-0.964904421,-0.8961122572,0.08904158324,0.9688544005,0.9953428864,1.960247307,-0.07921458522,1.676023133,0.1658489505,0.126074921,0.9984505199,0.0305048612,9.095795722,4.023237025,1.246970357,-4.015791495,6,0.25,30,136.5333333,-0.9962115884,0.9994786382,0.141274698,0.4119197465,0.557750105,0.02470529422,0.8694940665
gradient_anisotropy,afmv2_06e9a8457ab9,6058,0.0,0.3965720385,2,1,0.6409868002,-0.9968887568,0.9990998507,0.01338875227,0.6409868087,0.6409868087,0.5673778685,1.995988607,-0.982208842,-0.9246786296,-0.004203385906,0.9598425299,0.9918711001,1.974079942,0.01866873684,1.619287713,0.1680622963,0.1332705327,0.9983761123,0.02648598456,9.164493278,3.994433169,1.218832917,-4.05907439,6,0.25,27,151.7037037,-0.9968887568,0.9990998507,0.1386088982,0.4270110627,0.5823600793,0.02470529422,0.8451843034
gradient_anisotropy,afmv2_84343ccdd8fc,6058,0.0,-0.03772445023,-2,0,0.6345133185,-0.9989910126,0.9994089007,0.01474211908,0.6345133073,0.6345133073,0.5600528502,1.998399913,-0.9764666075,-0.9245964229,0.01231640717,0.954923588,0.9912636185,1.967730226,-0.0006697391755,1.6372427,0.1691661928,0.1332372283,0.9991731166,0.05509170618,9.216806648,4.085641426,1.343042297,-3.989334796,6,0.25,31,132.1290323,-0.9989910126,0.9994089007,0.1397486478,0.430186558,0.5871111549,0.02470529422,0.8349888135
