target,method,coverage,retained_growth_group_count,mae,median_absolute_error,pearson_r,retained_growth_run_ids
Rq_nm,M14b_rheed_density_weighted,0.5217391304347826,12,0.72494412716109,0.8459002003576805,0.5795410751801133,6029;6048;6056;6078;6081;6084;6101;6062;6070;6082;6033;6057
Rq_nm,M14c_residual_self_paced,1.0,23,1.5961847105631457,1.0275163841596426,0.27470218189671247,6029;6048;6056;6062;6078;6081;6084;6070;6082;6033;6101;6057;6063;6047;6072;6080;6028;6085;6095;6099;6094;6090;6022
Rq_nm,M14c_residual_self_paced,0.9130434782608695,21,1.6004724994902026,0.9485514813776841,0.3379683921038295,6029;6048;6056;6062;6078;6081;6084;6070;6082;6033;6101;6057;6063;6047;6072;6080;6028;6085;6095;6099;6094
Rq_nm,M14c_residual_self_paced,0.8260869565217391,19,1.3386208060895988,0.933918850222585,0.44655077706804375,6029;6048;6056;6062;6078;6081;6084;6070;6082;6033;6101;6057;6063;6047;6072;6080;6028;6085;6095
Rq_nm,M14c_residual_self_paced,0.7391304347826086,17,1.1404703068580668,0.933918850222585,0.17790785166055587,6029;6048;6056;6062;6078;6081;6084;6070;6082;6033;6101;6057;6063;6047;6072;6080;6028
Rq_nm,M14c_residual_self_paced,0.6086956521739131,14,1.0500270597305574,0.836587476829451,-0.12366227472236638,6029;6048;6056;6062;6078;6081;6084;6070;6082;6033;6101;6057;6063;6047
Rq_nm,M14c_residual_self_paced,0.5217391304347826,12,0.8685160017010811,0.836587476829451,0.19913093281206679,6029;6048;6056;6062;6078;6081;6084;6070;6082;6033;6101;6057
Rq_nm,M14d_r3d_causal_temporal,1.0,23,1.5541660821808239,1.2520117287153911,0.5933638390873944,6028;6029;6033;6057;6062;6070;6101;6078;6056;6047;6084;6081;6048;6072;6080;6082;6063;6085;6095;6090;6094;6022;6099
Rq_nm,M14d_r3d_causal_temporal,0.9130434782608695,21,1.5077835492608245,1.2520117287153911,0.35213117316672626,6028;6029;6033;6057;6062;6070;6101;6078;6056;6047;6084;6081;6048;6072;6080;6082;6063;6085;6095;6090;6094
Rq_nm,M14d_r3d_causal_temporal,0.8260869565217391,19,1.558929226849712,1.2520117287153911,0.34086468135436904,6028;6029;6033;6057;6062;6070;6101;6078;6056;6047;6084;6081;6048;6072;6080;6082;6063;6085;6095
Rq_nm,M14d_r3d_causal_temporal,0.7391304347826086,17,1.3801045579510705,1.142076746091011,-0.1295871609351728,6028;6029;6033;6057;6062;6070;6101;6078;6056;6047;6084;6081;6048;6072;6080;6082;6063
Rq_nm,M14d_r3d_causal_temporal,0.6086956521739131,14,1.2240690592751162,0.9666054114227036,-0.15946121543159758,6028;6029;6033;6057;6062;6070;6101;6078;6056;6047;6084;6081;6048;6072
Rq_nm,M14d_r3d_causal_temporal,0.5217391304347826,12,1.205133169475521,0.8555055529805694,-0.17286801818888803,6028;6029;6033;6057;6062;6070;6101;6078;6056;6047;6084;6081
Rq_nm,M14e_multiview_curated20_r3d80,1.0,23,1.4947259897420282,1.210423358934575,0.5932883152565289,6028;6029;6033;6057;6062;6070;6101;6078;6056;6047;6081;6084;6048;6082;6072;6080;6063;6085;6095;6094;6090;6022;6099
Rq_nm,M14e_multiview_curated20_r3d80,0.9130434782608695,21,1.3867059193304738,1.210423358934575,0.418384910177601,6028;6029;6033;6057;6062;6070;6101;6078;6056;6047;6081;6084;6048;6082;6072;6080;6063;6085;6095;6094;6090
Rq_nm,M14e_multiview_curated20_r3d80,0.8260869565217391,19,1.4198290353702065,1.210423358934575,0.44467410875568036,6028;6029;6033;6057;6062;6070;6101;6078;6056;6047;6081;6084;6048;6082;6072;6080;6063;6085;6095
Rq_nm,M14e_multiview_curated20_r3d80,0.7391304347826086,17,1.2219876062581978,1.05906701892454,0.05306864868492925,6028;6029;6033;6057;6062;6070;6101;6078;6056;6047;6081;6084;6048;6082;6072;6080;6063
Rq_nm,M14e_multiview_curated20_r3d80,0.6086956521739131,14,1.0894760505103263,0.7998641442847361,-0.025128110907862045,6028;6029;6033;6057;6062;6070;6101;6078;6056;6047;6081;6084;6048;6082
Rq_nm,M14e_multiview_curated20_r3d80,0.5217391304347826,12,1.0110931411193786,0.5938616314800496,0.11670788761627893,6028;6029;6033;6057;6062;6070;6101;6078;6056;6047;6081;6084
Rq_nm,M14f_multiview_curated40_r3d60,1.0,23,1.4612446385708133,1.2655673538627283,0.5653160584897816,6029;6057;6062;6070;6101;6078;6081;6056;6033;6047;6084;6048;6028;6082;6063;6072;6080;6085;6095;6094;6099;6090;6022
Rq_nm,M14f_multiview_curated40_r3d60,0.9130434782608695,21,1.4381255030095568,1.1693572391890878,0.6590611480352946,6029;6057;6062;6070;6101;6078;6081;6056;6033;6047;6084;6048;6028;6082;6063;6072;6080;6085;6095;6094;6099
Rq_nm,M14f_multiview_curated40_r3d60,0.8260869565217391,19,1.3177910277301847,1.1693572391890878,0.523386066855087,6029;6057;6062;6070;6101;6078;6081;6056;6033;6047;6084;6048;6028;6082;6063;6072;6080;6085;6095
