row_id,sample_id,group_id,split,source_kind,height_mean,height_std,rq,ra,peak_to_valley,p01,p05,p50,p95,p99,robust_range,skewness,kurtosis,mean_abs_gradient,gradient_std,gradient_orientation_entropy,gradient_anisotropy,psd_low_power,psd_mid_power,psd_high_power,psd_slope,autocorrelation_length_px,island_coverage,island_count,island_mean_area_px
afm_00011_782d9af833,6057,6057,train,physical_height,9.858336369e-11,5.337333427,5.337333427,4.143625317,38.94068336,-13.48801832,-8.821171045,0.1080389582,9.112355947,12.44990864,25.93792696,-0.05774660033,3.45649402,0.8704611245,0.8002930402,0.9917927367,0.3170059801,14.34228218,9.590906075,7.161108517,-3.594267167,12,0.25,60,273.0666667
afm_00012_ea2686bd44,6058,6058,val,physical_height,-2.70886924e-10,7.461155751,7.461155751,5.683751837,51.05440331,-19.75071459,-13.41259875,0.2544091344,11.21999807,18.70288654,38.45360113,-0.16526859,3.593959052,0.5738551759,0.5797569823,0.9940349594,0.1581800715,15.35902125,11.07345798,6.144528384,-4.185360607,23,0.25,56,1170.285714
afm_00013_d70a92b9a0,6062,6062,val,physical_height,-1.249707282e-11,2.571070219,2.571070219,1.920552583,24.77793121,-8.210761309,-4.741896963,0.2635788471,3.571227717,4.772968683,12.98372999,-0.9938687362,5.210069693,0.3661493342,0.3454746845,0.9963379502,0.04239833627,13.79552217,9.039554169,5.844088528,-3.730400188,12,0.25,192,341.3333333
afm_00014_d331d48bc9,6063,6063,test,physical_height,-3.082893593e-10,5.709474572,5.709474572,4.306452862,29.1259861,-16.1935894,-12.41240211,0.6749352813,8.384782982,10.82774814,27.02133754,-0.803473983,3.816560772,0.5278919927,0.5681091974,0.9928772094,0.2305995864,14.87893723,10.33701043,6.195608268,-4.038947749,17,0.25,85,771.0117647
afm_00015_b1b264d3a1,6065,6065,test,physical_height,1.678714945e-10,5.606737367,5.606737367,4.452380947,43.28011322,-10.18214417,-7.96492219,-0.6691589057,10.55737185,15.26157532,25.44371948,0.6096434672,3.195416101,1.343295956,0.7534538489,0.9978704842,0.1742949969,14.93620973,10.05113262,6.227412073,-3.970103112,28,0.25,134,122.2686567
afm_00016_2c24d35aaa,6066,6066,train,physical_height,1.458061449e-10,5.014744251,5.014744251,3.921335537,33.0625658,-14.84929404,-9.161294937,0.6906064749,7.032018971,10.00906762,24.85836166,-0.678528984,3.630463535,0.580398866,0.5249432501,0.997406798,0.1218823178,14.70139329,10.0353455,6.469044166,-3.881311381,14,0.25,122,537.1803279
afm_00017_eb55d4cc32,6067,6067,train,physical_height,1.645059089e-11,1.300249401,1.300249401,1.017028216,12.90818644,-3.382934363,-2.191040921,0.0557826627,2.06086458,2.827849715,6.210784078,-0.3170944037,3.712045511,0.2683807283,0.211225231,0.9759722092,0.007778610649,13.15717537,9.257431765,8.221828616,-2.649980441,12,0.25,949,69.05795574
afm_00018_296832d830,6068,6068,val,physical_height,-7.751812525e-10,10.20500678,10.20500678,8.869547062,54.22130394,-18.04263659,-14.62898755,-0.4135536999,16.55195951,21.00047464,39.04311123,0.1591320764,1.967801999,2.516185951,1.662748953,0.9953743507,0.05659873247,15.57760016,10.99765747,7.585945363,-3.598114358,7,0.25,109,150.3119266
afm_00019_da090957f7,6070,6070,train,physical_height,1.47687973e-10,3.156004827,3.156004827,2.434547175,30.15153313,-8.349800444,-5.361722469,0.05055741966,4.879202724,7.37910006,15.7289005,-0.2322057582,3.849866037,0.8210107611,0.7201066626,0.9859685627,0.3806972647,14.29697799,9.84812956,7.268094427,-3.326232592,10,0.25,172,95.25581395
afm_00020_a424770817,6072,6072,train,physical_height,7.039973964e-12,1.275434215,1.275434215,0.9624568411,11.79436779,-3.92060343,-2.245340049,0.1005590558,1.87547785,2.76107434,6.681677771,-0.6961332927,4.665003714,0.3471964188,0.3268358818,0.9917374272,0.1160569022,12.36711054,7.961824305,6.703601908,-2.761524453,7,0.25,213,76.92018779
afm_00021_d59786b32d,6073,6073,train,physical_height,6.676468406e-11,1.517172692,1.517172692,1.18015215,14.79007578,-4.159062448,-2.551879418,0.06612265855,2.33517313,3.132682145,7.291744592,-0.528027356,4.194419343,0.2042437358,0.1840110448,0.9959323857,0.04694770242,12.83629005,8.337009774,5.88867463,-3.418298228,15,0.25,272,240.9411765
afm_00022_ccd7c49224,6078,6078,val,physical_height,-5.476169518e-11,2.606983134,2.606983134,1.965578393,22.10292721,-5.27550436,-3.701468396,-0.3020133674,4.708230758,8.296447449,13.57195181,0.8186744015,4.67691615,0.2079639033,0.1989093232,0.9839823591,0.306709584,13.58019132,9.362760633,5.886808167,-3.6727057,45,0.25,124,528.516129
afm_00023_4ec77f0643,6080,6080,train,physical_height,1.064559552e-10,5.158537541,5.158537541,4.021750216,33.09296417,-14.08266625,-9.342260838,0.2202245668,8.092157125,10.13272238,24.21538863,-0.4338652232,3.288750959,0.8801545313,0.8217780249,0.9991670471,0.1295844943,14.06569121,9.071973267,5.465222789,-4.093806707,9,0.25,26,630.1538462
afm_00024_02882b2778,6081,6081,train,physical_height,4.901905548e-10,5.771374522,5.771374522,4.696931252,31.27156162,-7.779383898,-6.779685378,-1.440167546,11.09763479,17.30249395,25.08187785,0.9678803014,3.509529783,0.3126410958,0.2054654102,0.9524164597,0.5905435608,13.0763541,9.077844748,4.050396751,-4.127595644,62,0.25,4,4096
afm_00025_debcd2803c,6082,6082,train,physical_height,-7.542230729e-11,1.998581655,1.998581655,1.561213054,15.51362801,-4.899557066,-3.305527627,0.0104569043,3.152819276,5.259811544,10.15936861,0.01582117374,3.470238959,0.4172904976,0.2999241046,0.9916143232,0.2394125865,12.49403906,7.47606151,4.776549466,-3.677162842,9,0.25,72,227.5555556
afm_00026_b09d4e118e,6084,6084,train,physical_height,3.140156191e-11,1.553037407,1.553037407,1.214340612,13.74396992,-3.402273285,-2.363959253,-0.08794258535,2.7601704,3.992690277,7.394963562,0.2896294766,3.359600398,0.3271614554,0.2281508528,0.9884329737,0.3117941049,12.10731421,7.112981845,4.73047995,-3.667638599,9,0.25,80,204.8
afm_00027_7ff2734851,6085,6085,train,physical_height,-3.978849195e-10,3.156549954,3.156549954,2.485030663,22.9982214,-6.56283567,-4.901569963,-0.1515705511,5.467564464,8.620260954,15.18309662,0.3433304627,3.243407056,0.5120501734,0.3567947971,0.9894308198,0.3535256987,13.09302902,8.264462568,4.947952588,-3.94636539,13,0.25,44,372.3636364
afm_00028_4f8516eafb,6087,6087,train,physical_height,-5.486544552e-11,7.289650584,7.289650584,5.793811641,39.07276344,-17.56261883,-14.87053037,1.60764128,9.673122644,13.11066217,30.673281,-0.7008183843,2.86727896,1.75578248,1.596435954,0.997756065,0.1010562272,15.3059947,10.88581605,8.748737073,-3.082246827,7,0.25,108,151.7037037
afm_00029_5af47546a7,6088,6088,train,physical_height,-1.224021301e-10,1.751564104,1.751564104,1.305509262,19.92269802,-5.419197559,-3.079697347,0.1584075838,2.570085847,3.446811295,8.866008854,-0.9064353643,5.640367071,0.3129686861,0.2905808975,0.9953548682,0.09676417639,13.56474798,8.696103959,6.705068967,-3.338717749,10,0.2499961853,465,140.9354839
afm_00030_e9d498a7d5,6090,6090,train,physical_height,-1.415555451e-10,4.896469235,4.896469235,3.988873344,34.18375492,-9.119958115,-6.869359612,-0.5624258816,8.782542944,11.93259878,21.0525569,0.4932732146,2.930983037,0.4982076605,0.3404451018,0.995685357,0.04821326445,13.29859756,8.866171756,5.752391112,-3.73105721,54,0.25,30,546.1333333
afm_00031_c512e3b32c,6093,6093,train,physical_height,5.186762131e-10,5.357646035,5.357646035,4.266124961,35.88175583,-13.81211371,-10.08716321,0.9226827621,7.418504238,10.71377568,24.5258894,-0.4965910908,3.075375402,1.14127234,0.8325327493,0.9984507269,0.121936566,14.36547435,9.472041991,5.353190198,-4.059238294,8,0.25,74,221.4054054
afm_00032_1367119090,6094,6094,val,physical_height,-1.544513003e-10,4.153930958,4.153930958,3.155041189,33.53763866,-12.62711811,-7.964758325,0.616890192,5.566664624,7.978142056,20.60526017,-0.8879751626,4.311957072,0.4946226862,0.4560732968,0.9975280261,0.1678157372,14.3018567,9.639235617,7.553659885,-3.463168771,14,0.2499961853,126,520.1190476
afm_00033_abd918912b,6095,6095,train,physical_height,-3.683813254e-10,12.21884153,12.21884153,9.592104993,73.60641098,-21.59967957,-19.70294952,2.113771677,19.35308981,35.85273571,57.45241528,0.2536474991,3.478407315,1.752964478,1.63063558,0.9867694093,0.09332878124,15.58738507,10.64174663,7.642759953,-3.910540153,12,0.25,45,364.0888889
afm_00034_246229e6b5,6097,6097,train,physical_height,-2.165467805e-10,9.224106823,9.224106823,7.489807508,46.53601456,-18.48457651,-16.88698387,1.036510348,13.44736314,20.79776516,39.28234167,-0.1857429003,2.541557949,1.546865635,1.189392155,0.976548618,0.3189080597,14.98915261,10.35800175,5.935156881,-4.192862497,9,0.25,51,321.254902
afm_00035_c98c41e489,6099,6099,test,physical_height,2.599435667e-10,10.46141288,10.46141288,9.136377373,45.87390518,-15.14619253,-14.49011827,0.5907000601,16.38393641,22.6077597,37.75395224,0.1423800184,1.904767313,0.960230392,0.8538547556,0.9883081075,0.07259961353,15.83734361,11.37425213,8.29692666,-3.71423358,17,0.25,80,819.2
afm_00036_b9f6601fd1,6101,6101,train,physical_height,5.99020139e-11,0.7078356913,0.7078356913,0.5443351684,4.773011446,-1.570696324,-1.209350318,0.01183196204,1.245720714,1.67002458,3.240720904,0.0008273210585,3.137590111,0.08132988418,0.06144146404,0.9769263422,0.1191695532,9.823075826,6.502383114,4.915862303,-2.74824054,27,0.25,343,47.76676385
