cross_validation_fold,growth_run_id,method,island_feature_mae_z,island_feature_rmse_z,afm_prior_mahalanobis,held_real_afm_prior_mahalanobis,afm_likeness_percentile,held_real_likeness_percentile,boundary_ratio_q70_absolute_error,median_area_q70_log_absolute_error,component_count_q70_log_absolute_error,generated__log_component_count_q55,true__log_component_count_q55,generated__log_component_count_q70,true__log_component_count_q70,generated__log_component_count_q82,true__log_component_count_q82,generated__log_median_area_q55,true__log_median_area_q55,generated__log_median_area_q70,true__log_median_area_q70,generated__log_median_area_q82,true__log_median_area_q82,generated__median_solidity_q70,true__median_solidity_q70,generated__median_eccentricity_q70,true__median_eccentricity_q70,generated__boundary_gradient_ratio_q55,true__boundary_gradient_ratio_q55,generated__boundary_gradient_ratio_q70,true__boundary_gradient_ratio_q70,generated__boundary_gradient_ratio_q82,true__boundary_gradient_ratio_q82,generated__log_valley_component_count_q18,true__log_valley_component_count_q18,generated__log_valley_median_area_q18,true__log_valley_median_area_q18,generated__gradient_p90,true__gradient_p90,generated__laplacian_rms,true__laplacian_rms,generated__flat_fraction,true__flat_fraction,source
16,6085,M21c_strong_growth_layer,0.9160332133907784,1.0617999659372594,3.631775878390005,2.785601057336456,22.22222222222222,48.148148148148145,0.1898443698883056,0.273434184071462,0.4324442317383994,2.171902710926842,2.9700856263602153,3.090008326826286,3.5224525585646855,3.1549591391132585,3.449861553642436,4.188217876849988,4.8131418621859865,4.177895642437393,4.4513298265088554,4.2517499321421175,4.173913672891249,0.9054156869006492,0.9148295933417614,0.8023034305174287,0.7966557927215181,1.3154469728469849,1.2406062483787537,1.3488374948501587,1.158993124961853,1.372594177722931,1.0863714218139648,3.090008326826286,3.3667009459186796,3.828759529980489,3.6975537732812422,0.4578360170125961,0.5601420402526855,0.1719370409846305,0.2386395782232284,0.076080322265625,0.066070556640625,m21
17,6090,M21c_strong_growth_layer,0.7759655438465084,0.9058802899645816,3.244651176652385,1.9885818051850956,29.62962962962963,92.5925925925926,0.1627193093299865,0.183892437236731,0.4242438142613962,2.5249280036247685,2.6390573296152584,2.943052015725078,3.367295829986474,3.2384861814448413,3.4657359027997265,4.15218559458695,4.290459441148391,3.982772786564995,4.1666652238017265,3.9269965436121224,3.970291913552122,0.9140295358649788,0.8839285714285714,0.7821859847562314,0.8200550209467081,1.3679795861244202,1.2995814085006714,1.369459331035614,1.2067400217056274,1.3508550524711609,1.1721618175506592,3.012932986912657,3.4657359027997265,3.5553480614894135,3.688879454113936,0.4806088507175445,0.5586870312690735,0.1891026049852371,0.2290662825107574,0.068603515625,0.07061767578125,m21
18,6094,M21c_strong_growth_layer,1.184341431163348,1.3544997921821358,2.91413562932066,2.136288007809548,40.74074074074074,81.48148148148148,0.2315551042556762,0.4064741901862838,0.2051421972720568,2.381086967398878,2.668769039850659,3.090008326826286,3.295150524098343,3.377302049743981,3.4811217321331034,3.975295276090624,4.960921527410219,4.1207198449148645,4.527194035101148,3.832407892642868,3.9658220107271553,0.9154269459354204,0.8859023448088914,0.7839540567001286,0.8212645828224825,1.322257220745087,1.1636295914649963,1.310319483280182,1.0787643790245056,1.327179729938507,1.0215283036231997,3.218075184184714,3.688566856416977,3.49650756146648,3.4886406708153737,0.4926068782806396,0.6539724469184875,0.2065817639231681,0.3001382052898407,0.068878173828125,0.099273681640625,m21
19,6095,M21c_strong_growth_layer,1.2147280648641146,1.869529387700128,5.635550387260163,3.2869614347470897,11.11111111111111,25.925925925925927,0.4054999947547912,0.1343739428624903,0.0362853464174177,2.596478425445105,2.833213344056216,3.3649120352447377,3.4011973816621555,3.676220550121791,3.4011973816621555,4.921430684109236,5.0238805208462765,4.524337010053631,4.658710952916121,3.988812549392296,4.102643365036796,0.9306393899023024,0.918010752688172,0.7564633372138141,0.8117307341726034,1.6719752550125122,1.1978702545166016,1.4545451998710632,1.049045205116272,1.272840976715088,0.956813633441925,3.2769667020129054,3.367295829986474,3.672359527074837,3.6375861597263857,0.523626834154129,0.6436891555786133,0.1939215436577797,0.2438632249832153,0.110992431640625,0.1246337890625,m21
20,6099,M21c_strong_growth_layer,0.5958041158191867,0.8005291991448071,5.039697461186217,4.763330425864603,11.11111111111111,11.11111111111111,0.0505185723304748,0.0654534221210489,0.144138566731546,2.833213344056216,3.258096538021482,3.569433499972762,3.713572066704308,3.5553480614894135,3.713572066704308,5.025220482746146,5.059425458265688,4.508104678611366,4.442651256490317,4.007333185232471,4.051784947803305,0.9296228245777408,0.9269722814498934,0.744970648965811,0.7929019149237089,1.45818430185318,1.4441661834716797,1.2212169766426086,1.1706984043121338,1.045479416847229,1.0146788358688354,3.1112881340356844,3.4657359027997265,3.6622449896742664,3.871201010907891,0.5161497294902802,0.6273052096366882,0.1884871050715446,0.2451227009296417,0.087677001953125,0.1044921875,m21
21,6101,M21c_strong_growth_layer,3.1600758360712895,3.449012834426722,7.552605454741435,13.234689695596318,7.407407407407407,7.407407407407407,0.3686296343803406,0.4383725308567521,1.1076215414194488,2.596478425445105,1.039720770839918,3.1112881340356844,2.0036665926162356,3.2769667020129054,1.9356005054539456,3.26562099641187,2.232954059327292,3.332204510175204,2.8938319793184517,3.545038417888046,3.974722210125313,0.8990914547637237,0.9226596980255516,0.7615496508726767,0.8049366521217793,1.1736235618591309,1.523898363113403,1.1231242418289185,1.491753876209259,1.0967159271240234,1.3618739247322085,3.384246605824315,2.0715673631957663,3.41759229307365,4.352996857153951,0.4887502193450928,0.3328676074743271,0.232346661388874,0.1559476628899574,0.05596923828125,0.226593017578125,m21
22,N6342,M21c_strong_growth_layer,0.955465180341738,1.0362760870639722,5.2665048270984585,3.3162862326562483,11.11111111111111,29.62962962962963,0.1287118792533874,0.3525325565919663,0.5218150771253782,2.5184763012068148,3.198464827608073,3.295836866004329,3.8176519431297073,3.4782727215757845,3.912023005428146,3.1934396596813226,3.7549415305774567,3.464636061222193,3.817168617814159,3.197213262499014,3.441731293206546,0.879454658949041,0.904472104519774,0.7959973687038988,0.8104761832893359,1.1823666095733645,1.3029215931892395,1.158546805381775,1.2872586846351624,1.1838847994804382,1.293465435504913,3.535786682105766,3.7954260618442905,3.295836866004329,3.375843046666124,0.5235844552516937,0.6481396555900574,0.2669385224580765,0.3105727434158325,0.050445556640625,0.046661376953125,m21
23,N6358,M21c_strong_growth_layer,0.9298711976207192,1.2198081825490792,4.891471527274848,1.961596680564272,11.11111111111111,92.5925925925926,0.1234724521636962,0.9124297088272,0.050891347154971,2.770631772579213,2.5649493574615367,3.40064151723581,3.349750170080839,3.383095857330175,3.4339872044851463,3.1107918560793086,4.081685658229956,3.2384861814448413,4.150915890272041,3.295150524098343,3.951243718581427,0.8867424242424242,0.897860962566845,0.820184335850384,0.8033757138125728,1.1868359446525574,1.3035703897476196,1.1563727855682373,1.2798452377319336,1.165732979774475,1.2627838850021362,3.5537127370553523,3.4011973816621555,3.4758860821994557,3.772694874805912,0.5315334796905518,0.5485012829303741,0.2702803760766983,0.2214557528495788,0.048065185546875,0.068572998046875,m21
24,N6382,M21c_strong_growth_layer,1.3013566492676305,1.5192295557892543,5.1689564423845615,4.180679222483992,11.11111111111111,14.814814814814817,0.2619171738624573,0.6788439246041915,0.4825404480217936,2.7403194616709956,3.044522437723423,3.255129170261575,3.737669618283368,3.480173864550654,3.921924319076236,2.962127898707266,4.025192226533511,3.2430803944720443,3.921924319076236,3.1567740231385475,3.590415599522278,0.8963026556776557,0.9158054292407332,0.8089425906040242,0.772789718331812,1.1960871815681458,1.3518766164779663,1.168093740940094,1.4300109148025513,1.15865957736969,1.524690866470337,3.5487744253073963,3.713572066704308,3.3050114353384275,3.464636061222193,0.5507934391498566,0.6395599544048309,0.2936356216669082,0.2811871767044067,0.04205322265625,0.05426025390625,m21
25,N6389,M21c_strong_growth_layer,0.731231419745338,0.8615722867874629,2.8968372612713775,2.9674408110045003,40.74074074074074,40.74074074074074,0.0067028403282165,0.133602259324379,0.4518198071602981,2.4414009612931853,2.995732273553991,3.131699131295812,3.58351893845611,3.257356345436265,3.688879454113936,3.6361991962850233,4.007167868649712,3.737598751583512,3.871201010907891,3.7800402325109137,3.6176294228102943,0.9021831826709876,0.914745997420138,0.7933103186138275,0.7599574362777434,1.3164672255516052,1.3162973523139954,1.280947208404541,1.2876500487327576,1.24275141954422,1.3231667876243591,3.1934396596813226,3.5263605246161616,3.93355275015837,3.657109943711693,0.4937850683927536,0.5925054252147675,0.2198396101593971,0.2560243606567383,0.0631103515625,0.0648193359375,m21
