growth_run_id,true_sq_nm,predicted_sq_nm,rheed_spot_isolation_score,real__dark_fraction,real__largest_dark_component_fraction,real__display_median,real__display_mean,real__height_skewness,m21__dark_fraction,m21__largest_dark_component_fraction,m21__display_median,m21__display_mean,m21__height_skewness,inclusive__dark_fraction,inclusive__largest_dark_component_fraction,inclusive__display_median,inclusive__display_mean,inclusive__height_skewness,exclude_6022_6101__dark_fraction,exclude_6022_6101__largest_dark_component_fraction,exclude_6022_6101__display_median,exclude_6022_6101__display_mean,exclude_6022_6101__height_skewness
N6389,2.018978522546079,2.8771848693734574,0.9898696754507276,0.044921875,0.0054779052734375,0.45327045357449564,0.46120486150259654,0.22725992692964078,0.071044921875,0.01556396484375,0.4723705046182395,0.47942130304706243,0.11905717771508338,0.0418701171875,0.0037841796875,0.5041814193887313,0.5055568995121036,-0.07960482103438359,0.04864501953125,0.00299072265625,0.5091611534987791,0.5058976531259334,-0.029100758243489545
6033,2.0502288469039893,2.455710404967717,0.5529368304618725,0.0427703857421875,0.0030670166015625,0.49758535809691085,0.4967279893523264,0.00044466420813279127,0.050537109375,0.01568603515625,0.49737760117759844,0.5089502026938033,0.09974276096861405,0.04925537109375,0.01531982421875,0.5020871439512388,0.5129079553060532,0.09981127168956445,0.06304931640625,0.0147705078125,0.4866401140617591,0.5006440560456556,0.0899396292507756
6085,2.2395860210430385,4.236166376735063,0.4136841298621339,0.0398406982421875,0.004852294921875,0.5416866577013806,0.5297210166011324,-0.27190387816670436,0.12213134765625,0.0240478515625,0.4049934573662462,0.41667100905556054,0.348460893797458,0.03314208984375,0.002685546875,0.5578355161177082,0.5506491702974885,-0.24009362537990298,0.02593994140625,0.0029296875,0.5926696820351463,0.588037072437847,-0.34094697646543165
6029,2.289763258630059,1.598836977651232,0.320526991537957,0.0283966064453125,0.0047454833984375,0.5931438095439577,0.5789834378473266,-0.4839709308361029,0.0775146484375,0.01873779296875,0.4459618628185741,0.4662107485064524,0.24996200710092556,0.0775146484375,0.01873779296875,0.4459618628185741,0.4662107485064524,0.24996200710092556,0.0531005859375,0.010986328125,0.4786654458030395,0.49063851966944305,0.10398623362646717
6090,2.409593827374987,3.4424952018109516,0.4163628402716552,0.0429534912109375,0.004058837890625,0.5364473182453335,0.5290064059127925,-0.1764079567693637,0.15814208984375,0.052490234375,0.39456933343976464,0.40452774626108434,0.31682570792788134,0.032470703125,0.0023193359375,0.5954950086492914,0.5900253831001925,-0.3394735941114209,0.03558349609375,0.00286865234375,0.5655496529588647,0.5602737433339824,-0.24177963937240482
6056,2.5294262589551333,1.6338508663940672,0.5235960912520734,0.0361785888671875,0.004150390625,0.546497739688558,0.5369298437229133,-0.29905832849766917,0.09820556640625,0.0186767578125,0.44158866219812665,0.4612502422745892,0.23642672418042712,0.09820556640625,0.0186767578125,0.44158866219812665,0.4612502422745892,0.23642672418042712,0.10650634765625,0.0230712890625,0.4414432842197904,0.4626096528427859,0.23364382058946562
6070,2.544952193275771,1.8311266539120452,0.4611789249160777,0.02215576171875,0.0018463134765625,0.6069051978286676,0.5894546782776268,-0.6245644663844699,0.09197998046875,0.020751953125,0.4348860977940767,0.4560199482653774,0.2803083207451691,0.09197998046875,0.020751953125,0.4348860977940767,0.4560199482653774,0.2803083207451691,0.08453369140625,0.01678466796875,0.4247774219302483,0.448959826391937,0.33326179502617975
6062,3.0923655409506767,3.2230925682683815,0.3815184936561257,0.019542694091796875,0.000881195068359375,0.6660747233191093,0.6435496879677278,-0.920670397553257,0.13623046875,0.015869140625,0.37724364864094895,0.39325146205224054,0.4660707456097998,0.02850341796875,0.00286865234375,0.568472574248789,0.564943037583674,-0.3509545441020363,0.0345458984375,0.00341796875,0.5463258827320444,0.5431623192283248,-0.17732508560411758
6047,3.348536119726721,2.762874043733275,0.4995282947298877,0.0317230224609375,0.0029754638671875,0.539546729970904,0.5406746947093896,-0.10237070633878893,0.09735107421875,0.0126953125,0.45475205005989894,0.4607511196924917,0.16012306361800885,0.06536865234375,0.01416015625,0.47090143101078275,0.4808352773157516,0.149512812281127,0.048583984375,0.0145263671875,0.5196823473974149,0.5259896933947485,0.011912533692885129
6080,3.926619848284711,3.1211499677224896,0.5357486482437904,0.03228759765625,0.001922607421875,0.6083382786256402,0.5816741760154652,-0.7281022615125552,0.1146240234375,0.027099609375,0.3998364019916437,0.40598278910133345,0.4182189966305208,0.02935791015625,0.00238037109375,0.5771902092100942,0.5724094801462665,-0.3160382796023357,0.02923583984375,0.00250244140625,0.606770785534672,0.5923098627860967,-0.4711675231989742
