pair_id,row_id,sample_id,group_id,split,mean_intensity_mean,mean_intensity_std,std_intensity_mean,std_intensity_std,p01_intensity_mean,p01_intensity_std,p05_intensity_mean,p05_intensity_std,p50_intensity_mean,p50_intensity_std,p95_intensity_mean,p95_intensity_std,p99_intensity_mean,p99_intensity_std,saturated_fraction_mean,saturated_fraction_std,dark_fraction_mean,dark_fraction_std,laplacian_sharpness_mean,laplacian_sharpness_std,gradient_mean_mean,gradient_mean_std,gradient_std_mean,gradient_std_std,horizontal_projection_entropy_mean,horizontal_projection_entropy_std,vertical_projection_entropy_mean,vertical_projection_entropy_std,horizontal_peak_location_mean,horizontal_peak_location_std,horizontal_peak_width_mean,horizontal_peak_width_std,vertical_peak_location_mean,vertical_peak_location_std,vertical_peak_width_mean,vertical_peak_width_std,intensity_center_of_mass_x_mean,intensity_center_of_mass_x_std,intensity_center_of_mass_y_mean,intensity_center_of_mass_y_std,fft_low_power_mean,fft_low_power_std,fft_mid_power_mean,fft_mid_power_std,fft_high_power_mean,fft_high_power_std,fft_anisotropy_mean,fft_anisotropy_std,temporal_mean_abs_frame_difference,temporal_std_frame_mean_intensity,temporal_std_frame_sharpness
pair_00012,afm_00012_ea2686bd44,6058,6058,val,0.3245575176,0.2734701955,0.09597313195,0.068675078,0.09908205457,0.1450368186,0.1453982699,0.1987688498,0.3524977788,0.2828532091,0.4321107725,0.347403855,0.4503087318,0.3488574766,0.01216717156,0.0321913101,0.2444495376,0.376988342,0.002541518196,0.002910759742,0.004276608332,0.002860152023,0.007068778839,0.004455946079,0.8395740445,0.3223179859,0.8741991301,0.3304176891,0.3783632287,0.233764557,0.6746651786,0.3452067745,0.3553811659,0.2233587903,0.875,0.3307189139,0.4248064646,0.1061586081,0.4875607453,0.01674212357,2.282907422,1.325884638,0.6797064234,0.4680367294,0.2016386391,0.1573845302,0.121201382,0.1163777882,0.206715703,0.2734701955,0.002910759742
pair_00013,afm_00013_d70a92b9a0,6062,6062,val,0.3359729331,0.1893303579,0.09730392275,0.05693640791,0.09670910519,0.07273712264,0.1567782067,0.121842483,0.3418127801,0.1892321873,0.49155063,0.3038747625,0.5225739274,0.308372218,0.01081692443,0.01952297825,0.01349748884,0.02282333134,0.001689716661,0.00149594714,0.005803709704,0.00319145845,0.009080650372,0.003793243042,0.9923124056,0.004692764168,0.9991881946,0.0004174044337,0.5728699552,0.07859535985,0.9095982143,0.04114354596,0.5980941704,0.07086540928,1,0,0.4844972991,0.03065303533,0.5060179911,0.008500076087,2.865111686,0.8786882754,0.7853202827,0.4102295906,0.230917844,0.153053096,0.1153103579,0.09734655463,0.1486068219,0.1893303579,0.00149594714
pair_00014,afm_00014_d331d48bc9,6063,6063,test,0.3106107069,0.2898034742,0.08382199495,0.06387903913,0.08124664988,0.1046846428,0.1468616844,0.1653384909,0.3166883183,0.2961213546,0.4224150199,0.374958208,0.4723723643,0.4001546388,0.0115169603,0.01811928761,0.0428317323,0.06802172995,0.002198462503,0.002666161289,0.004548585915,0.003031746156,0.007276004384,0.003636930505,0.9881572213,0.01325684582,0.9986434881,0.001053601093,0.6278026906,0.1375958385,0.8839285714,0.0979348704,0.6883408072,0.01207436055,0.9760044643,0.04665859379,0.4903320738,0.05309269491,0.5199835642,0.01103040283,2.387382059,0.9470664285,0.6060023317,0.4119298112,0.1769056244,0.1417176337,0.1161533563,0.07829067385,0.2907716036,0.2898034742,0.002666161289
pair_00015,afm_00015_b1b264d3a1,6065,6065,test,0.395655226,0.21259077,0.1494457568,0.07404515714,0.09589039243,0.09046132968,0.1524558718,0.09209214635,0.3989959448,0.2184088969,0.615552905,0.3287008355,0.6641406948,0.3462790102,0.01062011719,0.02154481082,0.01191057478,0.01725966726,0.002294474795,0.001768400706,0.006589004246,0.002891864509,0.008256712332,0.003090702603,0.9856015061,0.003665168722,0.9990156164,0.0004937547836,0.7763452915,0.0521240172,0.6997767857,0.03706634354,0.4119955157,0.07228768749,1,0,0.5590023077,0.02757214475,0.4855441736,0.006794771092,2.751796927,0.8743548891,0.8136222822,0.3594864187,0.2375820653,0.1184295625,0.09973824409,0.01789118672,0.1303014308,0.21259077,0.001768400706
pair_00016,afm_00016_2c24d35aaa,6066,6066,train,0.196590432,0.2415994546,0.0459559951,0.04267686819,0.1049795384,0.1898029303,0.1166439308,0.1959556299,0.2072799522,0.2337119234,0.2576705329,0.3161352563,0.259614598,0.3157037857,0.01853974011,0.04905154172,0.3884551379,0.4745123967,0.001780997387,0.003430428165,0.001847603489,0.001858392367,0.005129727127,0.005116764377,0.6167963018,0.4778633554,0.6248137743,0.4839787166,0.3761210762,0.3120012761,0.53515625,0.4325547166,0.1524663677,0.3203297558,0.625,0.4841229183,0.4927436602,0.04563055995,0.4932536248,0.008962327246,1.468616867,1.301212277,0.3321546093,0.4115736698,0.08382631451,0.1390174521,0.08974988749,0.09160897549,0.2419957668,0.2415994546,0.003430428165
pair_00017,afm_00017_eb55d4cc32,6067,6067,train,0.3822266813,0.18753519,0.1066089915,0.03435746881,0.08208636229,0.1117663171,0.1551611696,0.1500435789,0.405921774,0.1860648715,0.5072842855,0.2465764304,0.533991795,0.2528078799,0.01019909917,0.02631852452,0.01473563058,0.02531039743,0.002033413286,0.001671239789,0.004943798936,0.001772969908,0.007336622453,0.001534832495,0.9892014682,0.007423473881,0.9991593387,0.0003184369447,0.5964125561,0.1205143915,0.8934151786,0.06551396325,0.5947309417,0.05329240788,1,0,0.468944897,0.04161134155,0.511938951,0.00675422219,2.595071492,0.3674337307,0.6236132951,0.1800985774,0.165949913,0.0617840846,0.1767178505,0.07067804101,0.177435562,0.18753519,0.001671239789
pair_00018,afm_00018_296832d830,6068,6068,val,0.3407797506,0.2239152537,0.1013207366,0.04565142354,0.07446261961,0.1024252375,0.1281196346,0.1652328161,0.3615617733,0.2279504072,0.4636297282,0.2812489752,0.475198674,0.2837189488,0.01427226164,0.03654480151,0.02386848294,0.03029628447,0.001945596041,0.002056440833,0.004672778479,0.002414809926,0.007477373932,0.003522920885,0.9865722468,0.007162571682,0.999444804,0.000276635072,0.4405829596,0.1470063977,0.8638392857,0.05494881083,0.5874439462,0.06397014627,1,0,0.4502679501,0.03485009884,0.5063395032,0.006371911712,2.435951039,0.9920021776,0.6317009504,0.3479273755,0.1843930743,0.1149380891,0.1622643866,0.06990345205,0.2260887027,0.2239152537,0.002056440833
pair_00019,afm_00019_da090957f7,6070,6070,train,0.3460523961,0.2214005445,0.1125360499,0.05359199977,0.08326969203,0.104931956,0.1591535037,0.1348543488,0.3602492064,0.2246740292,0.4847319601,0.2911978671,0.516279445,0.3003002917,0.01336296237,0.03288916009,0.01155432876,0.01424060695,0.001886578939,0.0016910145,0.006072509001,0.002821139437,0.01101210932,0.004166826251,0.98852826,0.004940956148,0.9986405492,0.00149049989,0.6070627803,0.1278997645,0.7996651786,0.105276658,0.5162556054,0.0466258557,0.9626116071,0.09892038942,0.5073667888,0.03891199837,0.4952192119,0.01013366656,3.082713351,0.9250802897,0.9247271431,0.4099368613,0.2779542937,0.1437859421,0.08958031834,0.06463766294,0.2107978761,0.2214005445,0.0016910145
pair_00020,afm_00020_a424770817,6072,6072,train,0.4761722935,0.2293359374,0.1089907899,0.04467903953,0.197602367,0.1550210757,0.2816991436,0.1790976298,0.48304764,0.2286187482,0.6342443796,0.2927813774,0.6854133792,0.3227115685,0.01039092395,0.02125766452,0.01232910156,0.02147253247,0.00322390093,0.002036628934,0.00564217387,0.002441961485,0.008739874,0.003368397477,0.9924263354,0.006436650573,0.9994348382,0.0003682830365,0.5773542601,0.1261945476,0.9162946429,0.07715436577,0.4971973094,0.06088744503,1,0,0.4926030099,0.04540966192,0.4993598055,0.00666827275,2.851921463,0.9125369939,0.8210539241,0.3796213963,0.2464728918,0.1287310176,0.110804497,0.07332889725,0.1488764733,0.2293359374,0.002036628934
pair_00021,afm_00021_d59786b32d,6073,6073,train,0.6497570984,0.1280767476,0.1169834482,0.0268235502,0.2009740546,0.2185653348,0.3737886753,0.2264694162,0.6846667901,0.1116606278,0.7417797223,0.1339439747,0.756157428,0.1351512917,0.01343520807,0.03447045124,0.01008699378,0.01367462538,0.005836832512,0.002269099825,0.00471550363,0.0005014094768,0.007253765129,0.0005575040874,0.9946700159,0.004348992315,0.9998614411,2.423654296e-05,0.5056053812,0.08688883246,0.9475446429,0.03934844322,0.5874439462,0.03771884269,1,0,0.4710386542,0.02036307038,0.5044291652,0.001218280637,2.329438307,0.140855692,0.5736557387,0.05184363572,0.1519412249,0.0198940428,0.3317107821,0.1008914264,0.1054703146,0.1280767476,0.002269099825
