control,descriptor,mse,mean_baseline_mse,improvement_ci_low,improvement_ci_high,beats_mean_fold_rate,best_real_mse,beats_real
shuffled_labels_within_train_folds,psd_mid_power,8.371391191531798,2.191790705079534,-6.179600486452264,-6.179600486452264,0.0,5.146847243222681,False
shuffled_shape_bags_across_groups,psd_mid_power,1.861690182595955,2.1917907050795304,0.33010052248357535,0.33010052248357535,1.0,5.146847243222681,True
brightness_only_diagnostic,psd_slope,0.7138062652917209,0.08450550310424698,-0.6293007621874739,-0.6293007621874739,0.0,0.4860788910007427,False
exposure_only_diagnostic,psd_slope,0.7138062652917209,0.08450550310424698,-0.6293007621874739,-0.6293007621874739,0.0,0.4860788910007427,False
forbidden_id_path_diagnostic,psd_slope,0.08927128540469934,0.08450550310424698,-0.004765782300452354,-0.004765782300452354,0.0,0.4860788910007427,True
random_gaussian_features,psd_slope,0.22655575896761215,0.08450550310424698,-0.14205025586336517,-0.14205025586336517,0.0,0.4860788910007427,True
raw240_feature_diagnostic,psd_slope,0.4147184133286133,0.08450550310424698,-0.33021291022436633,-0.33021291022436633,0.0,0.4860788910007427,True
shuffled_labels_global_diagnostic,psd_slope,2.369831212987179,0.11303442682505092,-2.2567967861621283,-2.2567967861621283,0.0,0.4860788910007427,False
shuffled_labels_within_train_folds,psd_slope,0.7005095825279432,0.08450550310424679,-0.6160040794236964,-0.6160040794236964,0.0,0.4860788910007427,False
shuffled_shape_bags_across_groups,psd_slope,0.22632037406674874,0.08450550310424698,-0.14181487096250175,-0.14181487096250175,0.0,0.4860788910007427,True
brightness_only_diagnostic,ra,19.36284063281352,9.456093217105751,-9.906747415707768,-9.906747415707768,0.0,10.560903498591484,False
exposure_only_diagnostic,ra,19.36284063281352,9.456093217105751,-9.906747415707768,-9.906747415707768,0.0,10.560903498591484,False
forbidden_id_path_diagnostic,ra,8.410524763323645,9.456093217105751,1.0455684537821064,1.0455684537821064,1.0,10.560903498591484,True
random_gaussian_features,ra,13.12757254908276,9.456093217105751,-3.671479331977009,-3.671479331977009,0.0,10.560903498591484,False
raw240_feature_diagnostic,ra,20.682104039903074,9.456093217105751,-11.226010822797322,-11.226010822797322,0.0,10.560903498591484,False
shuffled_labels_global_diagnostic,ra,55.90797413217118,7.582455611707027,-48.32551852046415,-48.32551852046415,0.0,10.560903498591484,False
shuffled_labels_within_train_folds,ra,18.868704886985114,9.456093217105751,-9.412611669879363,-9.412611669879363,0.0,10.560903498591484,False
shuffled_shape_bags_across_groups,ra,13.10498406656754,9.456093217105751,-3.6488908494617895,-3.6488908494617895,0.0,10.560903498591484,False
brightness_only_diagnostic,robust_range,492.5228091901676,264.28670952891804,-228.23609966124957,-228.23609966124957,0.0,314.6324988083619,False
exposure_only_diagnostic,robust_range,492.5228091901676,264.28670952891804,-228.23609966124957,-228.23609966124957,0.0,314.6324988083619,False
forbidden_id_path_diagnostic,robust_range,292.7260476614053,264.28670952891804,-28.43933813248725,-28.43933813248725,0.0,314.6324988083619,True
random_gaussian_features,robust_range,403.2097912744814,264.28670952891804,-138.92308174556337,-138.92308174556337,0.0,314.6324988083619,False
raw240_feature_diagnostic,robust_range,873.9199188103314,264.28670952891804,-609.6332092814134,-609.6332092814134,0.0,314.6324988083619,False
shuffled_labels_global_diagnostic,robust_range,750.0206737623786,245.0601033876821,-504.9605703746965,-504.9605703746965,0.0,314.6324988083619,False
shuffled_labels_within_train_folds,robust_range,554.6522719390283,264.28670952891804,-290.3655624101103,-290.3655624101103,0.0,314.6324988083619,False
shuffled_shape_bags_across_groups,robust_range,402.5510556747488,264.28670952891804,-138.26434614583076,-138.26434614583076,0.0,314.6324988083619,False
brightness_only_diagnostic,rq,28.55711041653939,13.76299665587449,-14.794113760664901,-14.794113760664901,0.0,15.777426900669973,False
exposure_only_diagnostic,rq,28.55711041653939,13.76299665587449,-14.794113760664901,-14.794113760664901,0.0,15.777426900669973,False
forbidden_id_path_diagnostic,rq,13.23864351978445,13.76299665587449,0.5243531360900402,0.5243531360900402,1.0,15.777426900669973,True
random_gaussian_features,rq,19.91572253329519,13.76299665587449,-6.152725877420702,-6.152725877420702,0.0,15.777426900669973,False
raw240_feature_diagnostic,rq,34.09698615188024,13.76299665587449,-20.33398949600575,-20.33398949600575,0.0,15.777426900669973,False
shuffled_labels_global_diagnostic,rq,42.641169615595125,10.857312000167331,-31.78385761542779,-31.78385761542779,0.0,15.777426900669973,False
shuffled_labels_within_train_folds,rq,15.912017229512882,13.76299665587449,-2.149020573638392,-2.149020573638392,0.0,15.777426900669973,False
shuffled_shape_bags_across_groups,rq,19.88026239578452,13.76299665587449,-6.11726573991003,-6.11726573991003,0.0,15.777426900669973,False
