growth_run_id,baseline_island_feature_mae_z,generated__flat_fraction_baseline,true__flat_fraction_baseline,selected_island_feature_mae_z,generated__flat_fraction_selected,true__flat_fraction_selected,true_target,predicted_target,rheed_spot_isolation_score,outer_target_used_for_training,baseline_flat_fraction_absolute_error,selected_flat_fraction_absolute_error,predicted_growth_regime
6070,1.9615918335665716,0.148681640625,0.072509765625,1.9615918335665716,0.148681640625,0.072509765625,2.544952193275771,1.8311266539120452,0.4611789249160777,False,0.076171875,0.076171875,smooth
6072,1.0920792643889146,0.046875,0.07427978515625,1.0920792643889146,0.046875,0.07427978515625,1.470114925398485,0.7607716381015716,0.5379805807108737,False,0.02740478515625,0.02740478515625,smooth
6078,1.5341764437088663,0.08203125,0.05621337890625,1.4767727346467308,0.08270263671875,0.05621337890625,1.5030123744331587,2.730365987671745,0.4679880832066347,False,0.02581787109375,0.0264892578125,transition
6080,1.486593461456324,0.0745849609375,0.085479736328125,1.3761044305798866,0.06903076171875,0.085479736328125,3.926619848284711,3.1211499677224896,0.5357486482437904,False,0.010894775390625,0.016448974609375,transition
6082,0.943498909935947,0.0723876953125,0.0675048828125,1.042835551122341,0.072998046875,0.0675048828125,1.8636132807576915,2.861394532579381,0.3916661555780874,False,0.0048828125,0.0054931640625,transition
6084,1.4596602058225423,0.06817626953125,0.050262451171875,1.6160249270585747,0.068267822265625,0.050262451171875,1.3919808047665612,3.0027959743893105,0.47517462671418,False,0.017913818359375,0.01800537109375,transition
6085,0.8373457780161236,0.09039306640625,0.066070556640625,0.9160332133907784,0.076080322265625,0.066070556640625,2.2395860210430385,4.236166376735063,0.4136841298621339,False,0.024322509765625,0.010009765625,layered_intermediate
6090,1.1995546534884598,0.115203857421875,0.07061767578125,0.7759655438465084,0.068603515625,0.07061767578125,2.409593827374987,3.4424952018109516,0.4163628402716552,False,0.044586181640625,0.00201416015625,transition
6094,1.3104372744112065,0.07244873046875,0.099273681640625,1.184341431163348,0.068878173828125,0.099273681640625,4.058265832922027,2.870153960817008,0.4859089754093983,False,0.026824951171875,0.0303955078125,transition
6095,1.2147280648641146,0.110992431640625,0.1246337890625,1.2147280648641146,0.110992431640625,0.1246337890625,9.07418341781433,8.758984720320248,0.6598583642519426,False,0.013641357421875,0.013641357421875,rough_tail
6099,0.5958041158191867,0.087677001953125,0.1044921875,0.5958041158191867,0.087677001953125,0.1044921875,9.394835603583507,8.458723849566589,0.8400285955108766,False,0.016815185546875,0.016815185546875,rough_tail
6101,3.1600758360712895,0.05596923828125,0.226593017578125,3.1600758360712895,0.05596923828125,0.226593017578125,0.481030585526218,0.5666429826402098,0.5369858906229248,False,0.170623779296875,0.170623779296875,smooth
N6342,0.955465180341738,0.050445556640625,0.046661376953125,0.955465180341738,0.050445556640625,0.046661376953125,0.8041046683028141,0.8327786888639845,0.8459354837612586,False,0.0037841796875,0.0037841796875,smooth
N6358,0.9298711976207192,0.048065185546875,0.068572998046875,0.9298711976207192,0.048065185546875,0.068572998046875,0.9793977637536512,0.8342641554266957,0.3743074230613476,False,0.0205078125,0.0205078125,smooth
N6382,1.3013566492676305,0.04205322265625,0.05426025390625,1.3013566492676305,0.04205322265625,0.05426025390625,1.1125519221718976,0.8296865787219431,0.9545383212646076,False,0.01220703125,0.01220703125,smooth
N6389,0.8432574683676889,0.07672119140625,0.0648193359375,0.731231419745338,0.0631103515625,0.0648193359375,2.018978522546079,2.8771848693734574,0.9898696754507276,False,0.01190185546875,0.001708984375,transition
N6390,0.9734892805571734,0.056610107421875,0.056396484375,0.9734892805571734,0.056610107421875,0.056396484375,1.962089230162033,1.2286004274463789,0.9395107720897432,False,0.000213623046875,0.000213623046875,smooth
