Kendall,MAE,N,R2,RMSE,Spearman,calibration,calibration_mean_slope,composite_score,feature_set,high_rq_sensitivity,high_rq_specificity,high_tail_MAE,inner_calibration_scope,low_high_balanced_accuracy,low_tail_MAE,median_AE,model_family,pairwise_concordance,predicted_std,predicted_truth_std_ratio,raw_MAE,raw_Spearman,sample_weighting,target_variant,trial_id,truth_std
0.23320158102766797,1.3882038974462105,23,0.33028209706395273,1.9636300842428642,0.3843873517786562,none,1.0,0.9753283598981929,E1_dino_keyframe,0.75,0.8,2.214686912859789,inner_oof_training_predictions_only,0.75,1.1764238678214443,1.0443085976180349,ridge,0.616600790513834,1.173579907570316,0.478350646279831,1.3882038974462105,0.3843873517786562,none,T8_multi_output_descriptor_target,trial_0008,2.453388359976798
0.23320158102766797,1.3881898530557841,23,0.33023100284839957,1.9637049875900972,0.3843873517786562,none,1.0,0.9753398763246015,E1_dino_keyframe,0.75,0.8,2.2150149352825546,inner_oof_training_predictions_only,0.75,1.1761497494994282,1.0450291082601504,ridge,0.616600790513834,1.1732416888987875,0.4782127885003429,1.3881898530557841,0.3843873517786562,quantile_balanced,T7_roughness_latent_factor,trial_0015,2.453388359976798
0.23320158102766797,1.3881898530557841,23,0.33023100284839957,1.9637049875900972,0.3843873517786562,none,1.0,0.9753398763246015,E1_dino_keyframe,0.75,0.8,2.2150149352825546,inner_oof_training_predictions_only,0.75,1.1761497494994282,1.0450291082601504,ridge,0.616600790513834,1.1732416888987875,0.4782127885003429,1.3881898530557841,0.3843873517786562,quantile_balanced,T8_multi_output_descriptor_target,trial_0016,2.453388359976798
0.23320158102766797,1.3881898530557841,23,0.33023100284839957,1.9637049875900972,0.3843873517786562,none,1.0,0.9753398763246015,E1_dino_keyframe,0.75,0.8,2.2150149352825546,inner_oof_training_predictions_only,0.75,1.1761497494994282,1.0450291082601504,ridge,0.616600790513834,1.1732416888987875,0.4782127885003429,1.3881898530557841,0.3843873517786562,quantile_balanced,T2_second_order_median_rq,trial_0010,2.453388359976798
0.16996047430830039,1.3324067972464522,23,0.3597674127142455,1.9199176919922882,0.31521739130434784,isotonic,1.18871796137661,0.9799787693316213,E1_dino_keyframe,0.5,0.9333333333333333,2.2481674648253414,inner_oof_training_predictions_only,0.6875,1.3389648895219122,0.9121987315324636,ridge,0.5849802371541502,2.1858001880667275,0.8909311806172419,1.3882038974462105,0.3843873517786562,none,T2_second_order_median_rq,trial_0098,2.453388359976798
0.16996047430830039,1.3324067972464522,23,0.3597674127142455,1.9199176919922882,0.31521739130434784,isotonic,1.18871796137661,0.9799787693316213,E1_dino_keyframe,0.5,0.9333333333333333,2.2481674648253414,inner_oof_training_predictions_only,0.6875,1.3389648895219122,0.9121987315324636,ridge,0.5849802371541502,2.1858001880667275,0.8909311806172419,1.3882038974462105,0.3843873517786562,none,T7_roughness_latent_factor,trial_0103,2.453388359976798
0.16996047430830039,1.3324067972464522,23,0.3597674127142455,1.9199176919922882,0.31521739130434784,isotonic,1.18871796137661,0.9799787693316213,E1_dino_keyframe,0.5,0.9333333333333333,2.2481674648253414,inner_oof_training_predictions_only,0.6875,1.3389648895219122,0.9121987315324636,ridge,0.5849802371541502,2.1858001880667275,0.8909311806172419,1.3882038974462105,0.3843873517786562,none,T8_multi_output_descriptor_target,trial_0104,2.453388359976798
0.16996047430830039,1.3326086514051003,23,0.3596266279648479,1.9201287717458888,0.31521739130434784,isotonic,1.18871796137661,0.9801072204844636,E1_dino_keyframe,0.5,0.9333333333333333,2.248251199011833,inner_oof_training_predictions_only,0.6875,1.339495922130789,0.9121987315324636,ridge,0.5849802371541502,2.1855902360633856,0.8908456042744309,1.3881898530557841,0.3843873517786562,quantile_balanced,T8_multi_output_descriptor_target,trial_0112,2.453388359976798
0.16996047430830039,1.3326086514051003,23,0.3596266279648479,1.9201287717458888,0.31521739130434784,isotonic,1.18871796137661,0.9801072204844636,E1_dino_keyframe,0.5,0.9333333333333333,2.248251199011833,inner_oof_training_predictions_only,0.6875,1.339495922130789,0.9121987315324636,ridge,0.5849802371541502,2.1855902360633856,0.8908456042744309,1.3881898530557841,0.3843873517786562,quantile_balanced,T7_roughness_latent_factor,trial_0111,2.453388359976798
0.16996047430830039,1.3326086514051003,23,0.3596266279648479,1.9201287717458888,0.31521739130434784,isotonic,1.18871796137661,0.9801072204844636,E1_dino_keyframe,0.5,0.9333333333333333,2.248251199011833,inner_oof_training_predictions_only,0.6875,1.339495922130789,0.9121987315324636,ridge,0.5849802371541502,2.1855902360633856,0.8908456042744309,1.3881898530557841,0.3843873517786562,quantile_balanced,T2_second_order_median_rq,trial_0106,2.453388359976798
0.34851553478262215,1.4798966096188213,23,0.04865274326595315,2.1350692658173536,0.4339016687936293,range_expand,1.7291931615975258,0.9946535401612304,E1_dino_keyframe,0.875,0.6666666666666666,1.4783737452554426,inner_oof_training_predictions_only,0.8125,1.7644007319038013,0.9394152685919535,ridge,0.6739130434782609,1.952143204268151,0.872201163729198,1.431364332853209,0.4298418972332016,quantile_balanced,T4_second_order_trimmed_mean,trial_0092,2.2381800041650193
