descriptor,feature,group,mean_importance_delta_mse,std_importance_delta_mse,fold_count
island_count,iqr_median_aspect_ratio,elongated_bar_like,16048.97134581604,0.0,1
island_mean_area_px,std_projection_peak_prominence_x,other_stable_geometry,15830.584323361516,0.0,1
island_count,weighted_mean_median_aspect_ratio,elongated_bar_like,15816.334963508183,0.0,1
island_mean_area_px,iqr_centroid_y_std,other_stable_geometry,15409.295315989293,0.0,1
island_count,trimmed_mean_centroid_x_mean,other_stable_geometry,15346.676960451296,0.0,1
island_mean_area_px,weighted_mean_right_side_component_fraction,other_stable_geometry,14515.754355873913,0.0,1
island_count,iqr_elongated_spot_count,spot_count_density,14102.773187845945,0.0,1
island_count,trimmed_mean_artifact_candidate_count,mask_quality,13895.653310240945,0.0,1
island_count,weighted_mean_nearest_neighbor_distance_mean,spacing_pairwise_distance,13437.053036357276,0.0,1
island_mean_area_px,weighted_mean_nearest_neighbor_distance_mean,spacing_pairwise_distance,12888.188885931857,0.0,1
island_count,trimmed_mean_total_component_count,spot_count_density,12739.642652831273,0.0,1
island_mean_area_px,std_mean_area,other_stable_geometry,12291.97904940974,0.0,1
island_count,weighted_mean_fft_anisotropy,orientation_anisotropy,11938.381879968802,0.0,1
island_count,trimmed_mean_spot_to_streak_ratio,elongated_bar_like,11364.572270293487,0.0,1
island_count,trimmed_mean_fft_anisotropy,orientation_anisotropy,11322.787815093528,0.0,1
island_count,trimmed_mean_component_density,spot_count_density,10584.750518155983,0.0,1
island_count,trimmed_mean_median_aspect_ratio,elongated_bar_like,10209.12454831088,0.0,1
island_count,weighted_median_pairwise_distance_hist_3,spacing_pairwise_distance,10141.041986028198,0.0,1
island_count,weighted_median_total_component_count,spot_count_density,9779.50272421469,0.0,1
island_count,trimmed_mean_projection_peak_prominence_x,other_stable_geometry,9658.788292087149,0.0,1
island_count,weighted_mean_mean_aspect_ratio,elongated_bar_like,9260.111134256469,0.0,1
island_count,trimmed_mean_centroid_x_std,other_stable_geometry,8808.089491972234,0.0,1
island_count,weighted_mean_total_component_count,spot_count_density,8672.424315457232,0.0,1
island_mean_area_px,std_median_aspect_ratio,elongated_bar_like,8584.292560867965,0.0,1
island_count,weighted_median_component_density,spot_count_density,8296.575510566588,0.0,1
island_mean_area_px,iqr_mean_eccentricity,elongated_bar_like,8138.6279275957495,0.0,1
island_count,std_right_side_component_fraction,other_stable_geometry,7595.374317019479,0.0,1
island_count,weighted_mean_centroid_x_std,other_stable_geometry,7536.323082444025,0.0,1
island_count,trimmed_mean_nearest_neighbor_distance_mean,spacing_pairwise_distance,7134.906805905746,0.0,1
island_count,weighted_mean_fft_mid_power,fft_psd,6968.220356565202,0.0,1
island_count,std_nearest_neighbor_distance_std,spacing_pairwise_distance,6790.118350873934,0.0,1
island_count,weighted_median_fft_anisotropy,orientation_anisotropy,6182.384394051973,0.0,1
island_count,iqr_projection_peak_prominence_x,other_stable_geometry,6156.433809175156,0.0,1
island_mean_area_px,iqr_centroid_x_std,other_stable_geometry,5435.983715307899,0.0,1
island_count,trimmed_mean_mean_area,other_stable_geometry,5314.025890565477,0.0,1
island_count,weighted_median_mean_aspect_ratio,elongated_bar_like,5053.071519936668,0.0,1
island_mean_area_px,iqr_spot_to_streak_ratio,elongated_bar_like,4638.542934323661,0.0,1
island_mean_area_px,iqr_median_eccentricity,elongated_bar_like,4454.2743863211945,0.0,1
island_mean_area_px,iqr_fft_low_power,fft_psd,4348.739989676513,0.0,1
island_count,std_projection_peak_count_y,other_stable_geometry,4265.832636157284,0.0,1
island_count,trimmed_mean_vertical_spacing_peak,spacing_pairwise_distance,4229.174684894271,0.0,1
island_count,trimmed_mean_mean_aspect_ratio,elongated_bar_like,3530.5028595267795,0.0,1
island_count,iqr_nearest_neighbor_distance_mean,spacing_pairwise_distance,3433.9113787258975,0.0,1
island_mean_area_px,weighted_mean_artifact_candidate_count,mask_quality,2912.1562852533534,0.0,1
island_count,trimmed_mean_nearest_neighbor_distance_std,spacing_pairwise_distance,2890.6037858321797,0.0,1
island_count,weighted_mean_median_eccentricity,elongated_bar_like,2822.895593856927,0.0,1
island_count,std_median_eccentricity,elongated_bar_like,2822.3169291040394,0.0,1
island_count,weighted_median_fft_mid_power,fft_psd,2528.2662149949465,0.0,1
island_count,weighted_mean_bar_like_score,elongated_bar_like,2300.9594778402243,0.0,1
