sweep_descriptor,base_row_id,sample_id,guidance_scale,requested_raw,requested_cond,sample_index,generated_std,generated_min,generated_max,generated_height_mean,generated_height_std,generated_rq,generated_ra,generated_peak_to_valley,generated_p01,generated_p05,generated_p50,generated_p95,generated_p99,generated_robust_range,generated_skewness,generated_kurtosis,generated_mean_abs_gradient,generated_gradient_std,generated_gradient_orientation_entropy,generated_gradient_anisotropy,generated_psd_low_power,generated_psd_mid_power,generated_psd_high_power,generated_psd_slope,generated_autocorrelation_length_px,generated_island_coverage,generated_island_count,generated_island_mean_area_px,generated_height_min,generated_height_max,generated_slope_p50,generated_slope_p95,generated_slope_p99,generated_psd_peak_frequency,generated_island_mean_height
rq,afmv2_06e9a8457ab9,6058,0.0,1.192162991,-1,6,0.6430698037,-0.9989239573,0.9991511106,0.02898209172,0.6430697884,0.6430697884,0.5699900163,1.998075068,-0.9816209126,-0.9204390973,0.02604718041,0.9733574182,0.9946678472,1.97628876,0.003349014582,1.617802572,0.159052414,0.1306495663,0.9962579287,0.224707641,9.061592195,3.802146766,1.179432992,-4.08726031,7,0.25,30,136.5333333,-0.9989239573,0.9991511106,0.1278275915,0.4176202843,0.5654193754,0.0078125,0.8602304523
rq,afmv2_06e9a8457ab9,6058,0.0,1.192162991,-1,7,0.6400027275,-0.9993354678,0.9979282022,0.03669764929,0.6400027303,0.6400027303,0.5652347201,1.99726367,-0.9846537834,-0.9326222509,0.03338114731,0.95080809,0.9886709255,1.973324709,-0.04712686227,1.626589125,0.1668192004,0.1308773313,0.9979813931,0.1316382141,9.155998503,3.992769832,1.224681493,-4.061112713,6,0.25,24,170.6666667,-0.9993354678,0.9979282022,0.1369589,0.4133668636,0.5672046651,0.015625,0.8516305899
rq,afmv2_06e9a8457ab9,6058,0.0,4.184250355,0,0,0.6358478069,-0.9987481833,0.9996926785,0.1084813937,0.6358478247,0.6358478247,0.55637622,1.998440862,-0.9883888561,-0.9332979202,0.1785987094,0.9583462268,0.9927772868,1.981166143,-0.2470215775,1.713923154,0.159162317,0.12854,0.9984454961,0.05576954465,9.07416165,3.907993052,1.130891223,-4.097560269,7,0.25,28,146.2857143,-0.9987481833,0.9996926785,0.1288255722,0.4124897662,0.5545670764,0.01746928107,0.871703781
rq,afmv2_06e9a8457ab9,6058,0.0,4.184250355,0,1,0.6317894459,-0.9993747473,0.9995835423,0.03475624233,0.631789485,0.631789485,0.5537311283,1.99895829,-0.9839989328,-0.9430148453,0.07253195718,0.9466914177,0.990527696,1.974526629,-0.09774739451,1.681665229,0.1693758158,0.13374011,0.9973812499,0.03592704467,9.184250315,3.992990884,1.210623535,-4.080434608,6,0.25,39,105.025641,-0.9993747473,0.9995835423,0.1386840752,0.4337678339,0.5904675755,0.0078125,0.8309050235
rq,afmv2_06e9a8457ab9,6058,0.0,4.184250355,0,2,0.6322030425,-0.9986421466,0.9994522333,0.07192899154,0.6322030047,0.6322030047,0.5581006529,1.99809438,-0.9851979887,-0.9185361475,0.09058910608,0.9624503851,0.9947683585,1.979966347,-0.101128482,1.659361754,0.1678495107,0.1319815999,0.9984168258,0.1301207042,9.189727718,4.033684003,1.239576527,-4.062670291,6,0.25,31,132.1290323,-0.9986421466,0.9994522333,0.1391907073,0.426410716,0.5730583363,0.0078125,0.8645313642
rq,afmv2_06e9a8457ab9,6058,0.0,4.184250355,0,3,0.6361175179,-0.9988152385,0.9996920228,0.05504414903,0.6361175045,0.6361175045,0.5599566274,1.998507261,-0.9887635016,-0.9285317034,0.07340867817,0.9518379956,0.9917349762,1.980498478,-0.09785984423,1.654735187,0.1604876223,0.1249519494,0.9983969247,0.06943151201,9.088435462,4.009119325,1.252803134,-4.019985918,7,0.25,26,157.5384615,-0.9988152385,0.9996920228,0.134366176,0.4015253257,0.541720177,0.015625,0.8549780665
rq,afmv2_06e9a8457ab9,6058,0.0,4.184250355,0,4,0.6255787611,-0.9949672818,0.999977529,0.110735519,0.6255787639,0.6255787639,0.5471075042,1.994944811,-0.9805835927,-0.9130597264,0.1490077674,0.9757695228,0.9968499655,1.977433558,-0.1630385652,1.729960885,0.1541120892,0.1235476199,0.9949079514,0.2674559225,8.987915288,3.823240346,1.122544056,-4.077839912,7,0.25,28,146.2857143,-0.9949672818,0.999977529,0.1272709815,0.4000519119,0.5411764256,0.01746928107,0.8895813251
rq,afmv2_06e9a8457ab9,6058,0.0,4.184250355,0,5,0.6204527617,-0.9980301261,0.9992228746,0.1035150948,0.6204527318,0.6204527318,0.5416278849,1.997253001,-0.9822796226,-0.9194328338,0.1674419567,0.9638235718,0.9917391777,1.9740188,-0.2186220147,1.749875366,0.17496246,0.1329550535,0.9984214014,0.07615539792,9.124415555,4.023946436,1.278272849,-3.950033997,6,0.25,41,99.90243902,-0.9980301261,0.9992228746,0.1495808385,0.4298641309,0.5631964904,0.0322117627,0.8585125857
rq,afmv2_06e9a8457ab9,6058,0.0,4.184250355,0,6,0.6498143077,-0.9973067641,0.9990377426,0.004341773229,0.649814298,0.649814298,0.5747867706,1.996344507,-0.9851733327,-0.9502040446,-0.008020259906,0.9594367146,0.991810959,1.976984292,0.01105785884,1.615865377,0.1578594733,0.1285363495,0.9968240137,0.2011882491,9.089524444,3.875348022,1.11559612,-4.121837084,7,0.25,22,186.1818182,-0.9973067641,0.9990377426,0.1290762664,0.4069619182,0.5786325335,0.01746928107,0.845138868
rq,afmv2_06e9a8457ab9,6058,0.0,4.184250355,0,7,0.6338351965,-0.9992852211,0.9986637831,0.03351283681,0.6338351838,0.6338351838,0.5577452592,1.997949004,-0.9872042406,-0.920062077,0.04054659419,0.963792184,0.9904501224,1.977654363,-0.01757077821,1.65210641,0.1656200874,0.1291234373,0.9983593841,0.116346336,9.128250438,3.969275626,1.332942188,-4.0023856,7,0.25,33,124.1212121,-0.9992852211,0.9986637831,0.1387528107,0.413957488,0.5620802946,0.02816836934,0.8516233496
rq,afmv2_06e9a8457ab9,6058,0.0,7.176337719,1,0,0.6206333637,-0.9979023337,0.9999551177,0.0781759015,0.6206333973,0.6206333973,0.5440789291,1.997857451,-0.9712253022,-0.8941678166,0.1032489873,0.9724453211,0.9989968359,1.970222138,-0.08724615479,1.69630925,0.1581430775,0.1222965401,0.9984710288,0.09959223133,9.015411427,3.857126297,1.150425113,-4.066913055,7,0.25,37,110.7027027,-0.9979023337,0.9999551177,0.1336960628,0.3947076549,0.5387762398,0.0078125,0.8649274316
rq,afmv2_06e9a8457ab9,6058,0.0,7.176337719,1,1,0.6480924487,-0.9981758595,0.9994287491,0.08743058932,0.6480924428,0.6480924428,0.5763601002,1.997604609,-0.9838421077,-0.9320798934,0.1432502642,0.9598998487,0.9907828218,1.974624929,-0.175293202,1.620403937,0.1646061751,0.1327588394,0.9987942833,0.1130828918,9.12369334,3.911901322,1.20834602,-4.071373894,7,0.25,30,136.5333333,-0.9981758595,0.9994287491,0.1337608488,0.4281982263,0.561119728,0.02209708691,0.8728496356
